step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isPayment,isMovement,accountDiff
206,CASH_OUT,62927.08,C473782114,0.0,0.0,C2096898696,649420.67,712347.75,0,0,1,649420.67
380,PAYMENT,32851.57,C1915112886,0.0,0.0,M916879292,0.0,0.0,0,1,0,0.0
570,CASH_OUT,1131750.38,C1396198422,1131750.38,0.0,C1612235515,313070.53,1444820.92,1,0,1,818679.8499999999
184,CASH_OUT,60519.74,C982551468,60519.74,0.0,C1378644910,54295.32,182654.5,1,0,1,6224.419999999998
162,CASH_IN,46716.01,C1759889425,7668050.6,7714766.61,C2059152908,2125468.75,2078752.75,0,0,0,5542581.85
350,PAYMENT,16013.85,C2093859850,72766.0,56752.15,M1803659246,0.0,0.0,0,1,0,72766.0
306,CASH_OUT,277310.34,C1480259234,0.0,0.0,C410033330,13379400.65,13656710.99,0,0,1,13379400.65
332,CASH_OUT,184157.68,C399464792,188588.19,4430.51,C295235726,358753.74,542911.42,0,0,1,170165.55
330,CASH_IN,136804.02,C304503510,20781.0,157585.02,C1682763714,707549.54,570745.52,0,0,0,686768.54
259,CASH_IN,60609.99,C2089244493,2907876.74,2968486.73,C277506714,823473.0,762863.01,0,0,0,2084403.7400000002
401,CASH_OUT,151635.96,C1084030527,0.0,0.0,C136327999,2405684.29,2557320.26,0,0,1,2405684.29
520,CASH_IN,466356.34,C52543009,100790.0,567146.34,C97745266,768467.85,302111.51,0,0,0,667677.85
308,PAYMENT,27040.37,C1641952338,0.0,0.0,M2132912796,0.0,0.0,0,1,0,0.0
236,PAYMENT,5103.33,C420018537,0.0,0.0,M443337482,0.0,0.0,0,1,0,0.0
39,CASH_OUT,276355.83,C510701952,291049.47,14693.64,C1100165965,317546.08,593901.91,0,0,1,26496.610000000044
229,PAYMENT,16077.15,C1060479643,242950.47,226873.31,M416071416,0.0,0.0,0,1,0,242950.47
394,CASH_IN,324152.21,C527914865,31814.0,355966.21,C829800422,284128.54,0.0,0,0,0,252314.53999999998
39,CASH_OUT,130780.79,C642990403,0.0,0.0,C1321640594,5863771.29,5994552.08,0,0,1,5863771.29
413,CASH_OUT,341441.17,C204567702,341441.17,0.0,C1336378574,0.0,341441.17,1,0,1,341441.17
401,CASH_IN,234017.94,C335715053,32130.0,266147.94,C1687123623,0.0,0.0,0,0,0,32130.0
207,CASH_OUT,128820.98,C1698686177,0.0,0.0,C1937225453,261131.91,389952.89,0,0,1,261131.91
276,TRANSFER,212789.44,C2039619142,31101.0,0.0,C860069132,0.0,212789.44,0,0,1,31101.0
254,CASH_IN,384286.74,C151233129,0.0,384286.74,C1863730960,1061621.25,677334.51,0,0,0,1061621.25
181,TRANSFER,2045372.51,C227611441,0.0,0.0,C1140768897,2053303.59,4098676.1,0,0,1,2053303.59
14,CASH_IN,366062.58,C2138426309,9892065.45,10258128.03,C1453128758,3034569.38,2699195.69,0,0,0,6857496.069999999
251,CASH_OUT,66862.7,C1170732934,0.0,0.0,C1016521110,263312.42,330175.13,0,0,1,263312.42
307,CASH_OUT,131829.43,C802845613,104496.0,0.0,C2104828062,3206734.33,3338563.76,0,0,1,3102238.33
688,CASH_IN,271189.26,C143066358,80599.0,351788.26,C1184706882,6176.28,0.0,0,0,0,74422.72
551,TRANSFER,813992.49,C460547143,813992.49,0.0,C830306578,0.0,0.0,1,0,1,813992.49
509,CASH_OUT,2656973.04,C759396393,2656973.04,0.0,C899155690,654028.45,3311001.49,1,0,1,2002944.59
371,CASH_OUT,552889.44,C354389891,359610.0,0.0,C1313296600,371388.4,924277.84,0,0,1,11778.400000000023
159,TRANSFER,54247.9,C2135201344,0.0,0.0,C1189020503,573971.17,628219.08,0,0,1,573971.17
17,PAYMENT,1004.5,C1213556839,24104.54,23100.05,M144701668,0.0,0.0,0,1,0,24104.54
305,CASH_OUT,360485.48,C2072185604,726065.0,365579.52,C1749967822,9822.44,370307.92,0,0,1,716242.56
133,CASH_OUT,899782.7,C1241123022,899782.7,0.0,C28614156,106863.62,1006646.32,1,0,1,792919.08
650,TRANSFER,18982.32,C536221830,18982.32,0.0,C659146767,0.0,0.0,1,0,1,18982.32
41,CASH_IN,60629.56,C660697057,7490906.09,7551535.65,C1025896532,3770414.69,3709785.14,0,0,0,3720491.4
193,PAYMENT,6081.62,C73962,44958.47,38876.85,M582958752,0.0,0.0,0,1,0,44958.47
187,CASH_IN,113789.33,C1202738578,5264884.99,5378674.32,C2081913112,392837.69,279048.36,0,0,0,4872047.3
105,CASH_OUT,539087.79,C1597812887,539087.79,0.0,C1452774204,44825.34,583913.14,1,0,1,494262.45000000007
379,CASH_IN,260669.55,C556364753,619126.59,879796.14,C660134907,3223367.17,2962697.61,0,0,0,2604240.58
25,CASH_OUT,781953.11,C1665079678,781953.11,0.0,C1566512642,0.0,781953.11,1,0,1,781953.11
320,TRANSFER,248409.56,C2096636104,248409.56,0.0,C1589898085,0.0,0.0,1,0,1,248409.56
210,CASH_OUT,1663895.14,C278631744,1663895.14,0.0,C542333894,0.0,1663895.14,1,0,1,1663895.14
252,PAYMENT,44684.46,C428366110,309979.0,265294.54,M278692788,0.0,0.0,0,1,0,309979.0
179,TRANSFER,714428.18,C1481440599,28720.0,0.0,C1596146212,2014961.65,2522669.81,0,0,1,1986241.65
151,CASH_OUT,147080.42,C249982146,147080.42,0.0,C627570303,0.0,147080.42,1,0,1,147080.42
647,TRANSFER,964876.58,C1995588993,964876.58,0.0,C1782972951,0.0,0.0,1,0,1,964876.58
561,TRANSFER,2763025.35,C829335128,2763025.35,0.0,C897120803,0.0,0.0,1,0,1,2763025.35
357,CASH_IN,214148.77,C1019778702,0.0,214148.77,C1308489613,1259630.7,1045481.94,0,0,0,1259630.7
322,CASH_OUT,83618.97,C120035315,0.0,0.0,C1793161668,30306378.84,30389997.81,0,0,1,30306378.84
426,PAYMENT,4150.78,C2054886581,253151.08,249000.3,M991424855,0.0,0.0,0,1,0,253151.08
357,PAYMENT,1531.42,C1072321122,0.0,0.0,M863504008,0.0,0.0,0,1,0,0.0
130,CASH_OUT,99776.21,C1691833586,17729.11,0.0,C914090576,115310.0,31839617.36,0,0,1,97580.89
398,CASH_OUT,8020.7,C520113181,0.0,0.0,C1518119248,2647802.61,2655823.31,0,0,1,2647802.61
541,TRANSFER,3297243.38,C411433616,3297243.38,0.0,C1948800216,0.0,0.0,1,0,1,3297243.38
1,PAYMENT,3004.57,C150079886,0.0,0.0,M1818453711,0.0,0.0,0,1,0,0.0
229,CASH_IN,130215.51,C1948149434,1534350.12,1664565.62,C1783495015,1058751.02,928535.52,0,0,0,475599.1000000001
206,CASH_OUT,227368.02,C955599896,390.0,0.0,C90781481,136448.71,363816.74,0,0,1,136058.71
350,CASH_OUT,2728625.68,C67550882,2728625.68,0.0,C58470057,8454424.24,11183049.93,1,0,1,5725798.5600000005
298,CASH_IN,210423.76,C389503797,8960804.19,9171227.94,C699651796,1657184.49,1446760.73,0,0,0,7303619.699999999
347,CASH_OUT,87842.32,C1562394349,0.0,0.0,C878798859,2511509.93,2599352.25,0,0,1,2511509.93
669,TRANSFER,57658.26,C485976806,57658.26,0.0,C399785222,0.0,0.0,1,0,1,57658.26
202,PAYMENT,1913.52,C1401340311,0.0,0.0,M2144427830,0.0,0.0,0,1,0,0.0
467,CASH_OUT,2108440.98,C858034086,2108440.98,0.0,C233159904,0.0,2108440.98,1,0,1,2108440.98
250,PAYMENT,24320.27,C38843455,0.0,0.0,M1368447378,0.0,0.0,0,1,0,0.0
256,CASH_OUT,206262.14,C1604693337,0.0,0.0,C39702076,447487.38,653749.53,0,0,1,447487.38
159,CASH_IN,69349.3,C197929180,2577130.55,2646479.85,C196302992,94267.74,24918.44,0,0,0,2482862.8099999996
188,CASH_OUT,96090.23,C2007642534,0.0,0.0,C241266010,3834845.09,3930935.31,0,0,1,3834845.09
325,TRANSFER,1445166.74,C757889087,1445166.74,0.0,C688244166,0.0,0.0,1,0,1,1445166.74
19,CASH_IN,92140.34,C732406243,11856797.72,11948938.06,C640681148,595439.28,727222.69,0,0,0,11261358.440000001
355,TRANSFER,1123218.64,C1870979272,103180.5,0.0,C1983898276,2159675.37,3282894.01,0,0,1,2056494.87
351,CASH_OUT,118111.77,C702710728,118111.77,0.0,C5500994,0.0,118111.77,1,0,1,118111.77
170,TRANSFER,147649.37,C220889804,147649.37,0.0,C1303263986,0.0,0.0,1,0,1,147649.37
229,PAYMENT,9201.63,C1305448188,0.0,0.0,M614960736,0.0,0.0,0,1,0,0.0
730,CASH_OUT,10000000.0,C1700232450,10000000.0,0.0,C125311108,0.0,10000000.0,1,0,1,10000000.0
35,CASH_OUT,299413.72,C1496515040,210927.0,0.0,C84502945,0.0,299413.72,0,0,1,210927.0
394,PAYMENT,908.69,C59935735,0.0,0.0,M1269436079,0.0,0.0,0,1,0,0.0
395,CASH_OUT,69552.77,C1593570891,11184.0,0.0,C1382373683,0.0,69552.77,0,0,1,11184.0
42,CASH_OUT,86646.89,C1739570413,0.0,0.0,C652540949,132212.74,218859.62,0,0,1,132212.74
16,PAYMENT,30967.94,C255134598,112337.45,81369.51,M1981877785,0.0,0.0,0,1,0,112337.45
183,PAYMENT,10371.95,C476799441,79.69,0.0,M1188988546,0.0,0.0,0,1,0,79.69
250,CASH_OUT,186552.69,C581505390,37617.0,0.0,C1161159002,0.0,186552.69,0,0,1,37617.0
188,CASH_IN,147554.47,C822361466,24015.0,171569.47,C1829021615,3339.25,0.0,0,0,0,20675.75
522,TRANSFER,59250.11,C1845085414,59250.11,0.0,C1517088370,0.0,0.0,1,0,1,59250.11
401,CASH_OUT,130293.01,C1990977750,97983.0,0.0,C790031841,127558.57,257851.57,0,0,1,29575.570000000007
381,CASH_OUT,703882.14,C536229178,703882.14,0.0,C1631425585,100650.86,804533.01,1,0,1,603231.28
259,TRANSFER,248071.56,C1429503291,248071.56,0.0,C1044014885,0.0,0.0,1,0,1,248071.56
278,CASH_OUT,459341.02,C691669300,0.0,0.0,C1046338731,5250087.83,5709428.85,0,0,1,5250087.83
298,CASH_IN,406284.34,C1273207507,87935.0,494219.34,C727827058,0.0,0.0,0,0,0,87935.0
202,CASH_OUT,187371.29,C1422486631,15137.0,0.0,C1153336807,1790998.54,1978369.83,0,0,1,1775861.54
397,CASH_IN,147079.69,C1744161152,10892.0,157971.69,C1493974607,4678.54,0.0,0,0,0,6213.46
232,PAYMENT,2563.81,C458924402,0.0,0.0,M2067777171,0.0,0.0,0,1,0,0.0
600,TRANSFER,612229.86,C191516415,612229.86,0.0,C278468625,0.0,0.0,1,0,1,612229.86
299,TRANSFER,5166728.87,C811562034,5166728.87,0.0,C1606899764,0.0,0.0,1,0,1,5166728.87
130,CASH_OUT,245905.14,C628453425,0.0,0.0,C189661426,370483.55,616388.69,0,0,1,370483.55
37,CASH_OUT,18369.5,C1118062365,280089.0,261719.5,C890630379,368307.4,477592.44,0,0,1,88218.40000000002
300,PAYMENT,74916.14,C298632082,275220.0,200303.86,M313307389,0.0,0.0,0,1,0,275220.0
160,CASH_OUT,14634.55,C644860107,0.0,0.0,C1693114343,297044.42,311678.97,0,0,1,297044.42
308,CASH_IN,110224.09,C1173996345,35964.0,146188.09,C2041539695,454413.59,344189.5,0,0,0,418449.59
206,CASH_IN,107671.52,C1811116893,20853.0,128524.52,C98226272,3603031.0,3495359.48,0,0,0,3582178.0
130,CASH_IN,122446.77,C1037680795,20918.0,143364.77,C443044241,0.0,0.0,0,0,0,20918.0
377,PAYMENT,21550.42,C920146913,0.0,0.0,M1048906316,0.0,0.0,0,1,0,0.0
259,CASH_IN,16296.92,C1389760812,936757.95,953054.87,C278138839,390273.48,373976.56,0,0,0,546484.47
236,CASH_OUT,188473.73,C1803773779,0.0,0.0,C759357488,10323212.18,10511685.91,0,0,1,10323212.18
713,TRANSFER,4130371.73,C589050166,4130371.73,0.0,C2115142048,0.0,0.0,1,0,1,4130371.73
499,TRANSFER,488243.65,C2117568077,488243.65,0.0,C1238599279,0.0,0.0,1,0,1,488243.65
205,CASH_IN,7650.6,C1466699934,59706.0,67356.6,C331276682,3510522.89,3502872.29,0,0,0,3450816.89
185,CASH_OUT,28808.76,C867203023,0.0,0.0,C688440459,44969.02,73777.78,0,0,1,44969.02
695,TRANSFER,1305754.09,C1383489618,1305754.09,0.0,C1527197718,0.0,0.0,1,0,1,1305754.09
280,CASH_OUT,177023.02,C672193931,0.0,0.0,C1838178274,701771.15,878794.17,0,0,1,701771.15
282,CASH_IN,104080.99,C2049997589,21061017.2,21165098.19,C2077616626,825505.31,721424.32,0,0,0,20235511.89
378,PAYMENT,9662.05,C1393330314,11094.6,1432.55,M2012676735,0.0,0.0,0,1,0,11094.6
227,CASH_OUT,98087.23,C1054119151,89.0,0.0,C210915814,7839575.66,7937662.89,0,0,1,7839486.66
